,stamp,lon,lat,speed
224,2021-11-07 16:03:21.464,,,
225,2021-11-07 16:03:21.705,,,
226,2021-11-07 16:03:21.937,,,
227,2021-11-07 16:03:22.179,,,
228,2021-11-07 16:03:22.421,,,
229,2021-11-07 16:03:22.662,,,
230,2021-11-07 16:03:22.904,,,
231,2021-11-07 16:03:23.146,,,
232,2021-11-07 16:03:23.388,,,
233,2021-11-07 16:03:23.619,,,
234,2021-11-07 16:03:23.861,,,
235,2021-11-07 16:03:24.103,,,
236,2021-11-07 16:03:24.345,,,
237,2021-11-07 16:03:24.586,,,
238,2021-11-07 16:03:24.818,,,
239,2021-11-07 16:03:25.060,,,
240,2021-11-07 16:03:25.301,,,
241,2021-11-07 16:03:25.543,,,
242,2021-11-07 16:03:25.785,,,
243,2021-11-07 16:03:26.027,,,
244,2021-11-07 16:03:26.258,,,
245,2021-11-07 16:03:26.742,,,
246,2021-11-07 16:03:26.994,,,
247,2021-11-07 16:03:27.225,,,
248,2021-11-07 16:03:27.467,,,
249,2021-11-07 16:03:27.699,,,
250,2021-11-07 16:03:27.941,,,
251,2021-11-07 16:03:28.182,,,
252,2021-11-07 16:03:28.424,,,
253,2021-11-07 16:03:28.666,,,
254,2021-11-07 16:03:28.908,,,
255,2021-11-07 16:03:29.179,,,
256,2021-11-07 16:03:29.421,,,
257,2021-11-07 16:03:29.663,,,
258,2021-11-07 16:03:29.905,,,
259,2021-11-07 16:03:30.136,,,
260,2021-11-07 16:03:30.378,,,
261,2021-11-07 16:03:30.620,,,
262,2021-11-07 16:03:30.862,,,
263,2021-11-07 16:03:31.103,,,
264,2021-11-07 16:03:31.345,,,
265,2021-11-07 16:03:31.577,,,
266,2021-11-07 16:03:32.060,,,
267,2021-11-07 16:03:32.302,,,
268,2021-11-07 16:03:32.544,,,
269,2021-11-07 16:03:32.786,,,
270,2021-11-07 16:03:33.027,,,
271,2021-11-07 16:03:33.259,,,
272,2021-11-07 16:03:33.501,,,
273,2021-11-07 16:03:33.742,,,
274,2021-11-07 16:03:33.984,,,
275,2021-11-07 16:03:34.226,,,
276,2021-11-07 16:03:34.458,,,
277,2021-11-07 16:03:34.699,,,
278,2021-11-07 16:03:34.941,,,
279,2021-11-07 16:03:35.183,,,
280,2021-11-07 16:03:35.425,,,
281,2021-11-07 16:03:35.656,,,
282,2021-11-07 16:03:35.898,,,
283,2021-11-07 16:03:36.140,,,
284,2021-11-07 16:03:36.382,,,
285,2021-11-07 16:03:36.623,,,
286,2021-11-07 16:03:36.865,,,
287,2021-11-07 16:03:37.107,,,
288,2021-11-07 16:03:37.338,,,
289,2021-11-07 16:03:37.580,,,
290,2021-11-07 16:03:37.822,,,
291,2021-11-07 16:03:38.064,,,
292,2021-11-07 16:03:38.305,,,
293,2021-11-07 16:03:38.547,,,
294,2021-11-07 16:03:38.779,,,
295,2021-11-07 16:03:39.021,,,
296,2021-11-07 16:03:39.262,,,
297,2021-11-07 16:03:39.504,,,
298,2021-11-07 16:03:39.746,,,
299,2021-11-07 16:03:39.988,,,
300,2021-11-07 16:03:40.219,,,
301,2021-11-07 16:03:40.461,,,
302,2021-11-07 16:03:40.703,,,
303,2021-11-07 16:03:40.945,,,
304,2021-11-07 16:03:41.186,,,
305,2021-11-07 16:03:41.418,,,
306,2021-11-07 16:03:41.660,,,
307,2021-11-07 16:03:41.901,,,
308,2021-11-07 16:03:42.143,,,
